[32mModel Training completed successfully in time 0.5206120014190674![0m

{'mse': np.float64(1.230921111469561), 'rmse': np.float64(1.1094688420454002), 'r2': np.float64(-0.23092111146796257)}
{'mse': np.float64(1.2301712830573233), 'rmse': np.float64(1.1091308683186685), 'r2': np.float64(-0.23017128305572565)}
{'mse': np.float64(1.2280243352393327), 'rmse': np.float64(1.1081625942249327), 'r2': np.float64(-0.22802433523773802)}
{'mse': np.float64(1.2267779791165239), 'rmse': np.float64(1.1076000989150028), 'r2': np.float64(-0.2267779791149307)}
{'mse': np.float64(1.2286433853230818), 'rmse': np.float64(1.108441872775962), 'r2': np.float64(-0.2286433853214862)}
{'mse': np.float64(1.226851942298454), 'rmse': np.float64(1.1076334873496982), 'r2': np.float64(-0.2268519422968609)}
{'mse': np.float64(1.2261861405561292), 'rmse': np.float64(1.1073328950934895), 'r2': np.float64(-0.22618614055453667)}
{'mse': np.float64(1.225708646678819), 'rmse': np.float64(1.1071172687113227), 'r2': np.float64(-0.22570864667722712)}
{'mse': np.float64(1.225258905957634), 'rmse': np.float64(1.1069141366689803), 'r2': np.float64(-0.2252589059560428)}
{'mse': np.float64(1.2276697853553715), 'rmse': np.float64(1.1080026107168572), 'r2': np.float64(-0.22766978535377702)}
{'mse': np.float64(1.2282585304842386), 'rmse': np.float64(1.1082682574558556), 'r2': np.float64(-0.22825853048264344)}
[32mMetrics logged successfully to Weights and Biases![0m
