[32mModel Training completed successfully in time 12.490446090698242![0m

{'epoch': 65, 'mse': np.float64(1.043082260900224), 'rmse': np.float64(1.021313987420237), 'r2': np.float64(-0.04308226089886924)}
{'epoch': 66, 'mse': np.float64(1.0421820789197729), 'rmse': np.float64(1.020873194338931), 'r2': np.float64(-0.0421820789184193)}
{'epoch': 67, 'mse': np.float64(1.0413089282919086), 'rmse': np.float64(1.0204454558142284), 'r2': np.float64(-0.0413089282905561)}
{'epoch': 68, 'mse': np.float64(1.040461799403689), 'rmse': np.float64(1.0200302933754903), 'r2': np.float64(-0.04046179940233774)}
{'epoch': 69, 'mse': np.float64(1.0396397262494503), 'rmse': np.float64(1.0196272486793643), 'r2': np.float64(-0.039639726248100304)}
{'epoch': 70, 'mse': np.float64(1.0388417843611453), 'rmse': np.float64(1.0192358825910444), 'r2': np.float64(-0.038841784359795906)}
{'epoch': 71, 'mse': np.float64(1.0380670888413508), 'rmse': np.float64(1.0188557743082927), 'r2': np.float64(-0.03806708884000276)}
{'epoch': 72, 'mse': np.float64(1.0373147924939827), 'rmse': np.float64(1.0184865205264049), 'r2': np.float64(-0.037314792492635585)}
{'epoch': 73, 'mse': np.float64(1.036584084047971), 'rmse': np.float64(1.0181277346423536), 'r2': np.float64(-0.03658408404662472)}
{'epoch': 74, 'mse': np.float64(1.0358741864693417), 'rmse': np.float64(1.0177790459963998), 'r2': np.float64(-0.03587418646799634)}
{'epoch': 75, 'mse': np.float64(1.0351843553573232), 'rmse': np.float64(1.0174400991494896), 'r2': np.float64(-0.03518435535597897)}
{'epoch': 76, 'mse': np.float64(1.0345138774203075), 'rmse': np.float64(1.017110553194837), 'r2': np.float64(-0.034513877418963945)}
{'epoch': 77, 'mse': np.float64(1.0338620690276534), 'rmse': np.float64(1.0167900811021189), 'r2': np.float64(-0.033862069026310726)}
{'epoch': 78, 'mse': np.float64(1.0332282748335293), 'rmse': np.float64(1.0164783690927857), 'r2': np.float64(-0.033228274832187266)}
{'epoch': 79, 'mse': np.float64(1.0326118664691377), 'rmse': np.float64(1.0161751160450336), 'r2': np.float64(-0.03261186646779657)}
{'epoch': 80, 'mse': np.float64(1.0320122412998691), 'rmse': np.float64(1.0158800329270525), 'r2': np.float64(-0.032012241298528865)}
{'epoch': 81, 'mse': np.float64(1.0314288212440612), 'rmse': np.float64(1.0155928422572016), 'r2': np.float64(-0.031428821242721616)}
{'epoch': 82, 'mse': np.float64(1.0308610516502317), 'rmse': np.float64(1.0153132775898441), 'r2': np.float64(-0.030861051648892968)}
{'epoch': 83, 'mse': np.float64(1.0303084002297882), 'rmse': np.float64(1.0150410830256025), 'r2': np.float64(-0.03030840022845016)}
{'epoch': 84, 'mse': np.float64(1.0297703560423677), 'rmse': np.float64(1.0147760127448655), 'r2': np.float64(-0.029770356041030288)}
{'epoch': 85, 'mse': np.float64(1.0292464285311156), 'rmse': np.float64(1.0145178305634237), 'r2': np.float64(-0.02924642852977888)}
{'epoch': 86, 'mse': np.float64(1.0287361466053242), 'rmse': np.float64(1.0142663095091566), 'r2': np.float64(-0.028736146603988155)}
{'epoch': 87, 'mse': np.float64(1.0282390577680085), 'rmse': np.float64(1.014021231418755), 'r2': np.float64(-0.028239057766673126)}
{'epoch': 88, 'mse': np.float64(1.0277547272861036), 'rmse': np.float64(1.0137823865534967), 'r2': np.float64(-0.027754727284768688)}
{'epoch': 89, 'mse': np.float64(1.0272827374010869), 'rmse': np.float64(1.0135495732331432), 'r2': np.float64(-0.02728273739975262)}
{'epoch': 90, 'mse': np.float64(1.0268226865779593), 'rmse': np.float64(1.0133225974870783), 'r2': np.float64(-0.026822686576625676)}
{'epoch': 91, 'mse': np.float64(1.0263741887906015), 'rmse': np.float64(1.0131012727218347), 'r2': np.float64(-0.02637418878926856)}
{'epoch': 92, 'mse': np.float64(1.025936872841647), 'rmse': np.float64(1.0128854194042123), 'r2': np.float64(-0.02593687284031443)}
{'epoch': 93, 'mse': np.float64(1.0255103817150952), 'rmse': np.float64(1.0126748647592154), 'r2': np.float64(-0.025510381713763408)}
{'epoch': 94, 'mse': np.float64(1.0250943719599939), 'rmse': np.float64(1.01246944248209), 'r2': np.float64(-0.025094371958662487)}
{'epoch': 95, 'mse': np.float64(1.0246885131035932), 'rmse': np.float64(1.0122689924637587), 'r2': np.float64(-0.0246885131022625)}
{'epoch': 96, 'mse': np.float64(1.0242924870924757), 'rmse': np.float64(1.0120733605290062), 'r2': np.float64(-0.0242924870911454)}
{'epoch': 97, 'mse': np.float64(1.0239059877602252), 'rmse': np.float64(1.011882398186778), 'r2': np.float64(-0.02390598775889541)}
{'epoch': 98, 'mse': np.float64(1.0235287203202934), 'rmse': np.float64(1.011695962392009), 'r2': np.float64(-0.023528720318964247)}
{'epoch': 99, 'mse': np.float64(1.0231604008827808), 'rmse': np.float64(1.0115139153184107), 'r2': np.float64(-0.023160400881452103)}
[32mMetrics logged successfully to Weights and Biases![0m
